,brandnm,goodsnm,4days,7days
871,CELINE,basic pattern turtle neck turtleneck pink,"19,000","29,000"
872,CHANEL,brooch check pattern jacket cream,"34,000","44,000"
873,STONE ISLAND,button basic pattern t-shirts coral,"19,000","29,000"
874,CHANEL,button basic pattern skirt black,"24,000","34,000"
875,MARNI,pintuck graphics pattern H-Line dress black,"34,000","44,000"
876,GIVENCHY,button basic pattern wool jacket black,"39,000","49,000"
877,HUGO BOSS,basic pattern skirt black,"24,000","34,000"
878,PRADA,basic pattern A-Line dress ivory,"39,000","49,000"
879,"DOLCE & GABBANA,SANCTUARY","lettering tee black,baggy cargo pants","39,000","59,000"
880,CHRISTIAN DIOR,pleats basic pattern wool pleats-skirt brown,"24,000","34,000"
881,MAX MARA,basic pattern wool coat grey,"39,000","49,000"
882,ALEXANDER MCQUEEN,classic jacket black,"34,000","44,000"
883,AMSALE,halter neck shirring dress charcoal,"34,000","44,000"
884,JIL SANDER,stripe pattern t-shirts,"19,000","29,000"
885,ESCADA,pocket stripe pattern slacks black,"24,000","34,000"
886,MARNI,dots pattern top,"19,000","29,000"
887,MAX MARA,lace beads top,"24,000","34,000"
888,CHRISTIAN DIOR,basic pattern fur-outer black,"24,000","34,000"
889,CHLOE,pleats detail dress black,"34,000","44,000"
890,CHLOE,big lapel double-breasted coat ivory,"34,000","44,000"
891,CHRISTIAN DIOR,vintage blue coat,"39,000","49,000"
892,ETRO,floral ethnic pattern dress pink,"34,000","44,000"
893,AMSALE,spangle one shoulder dress salmon,"39,000","49,000"
894,AMSALE,string halter neck ruffle maxi dress nude,"34,000","44,000"
895,ALEXANDER MCQUEEN,shirring knit dress gray,"34,000","44,000"
896,ALEXANDER MCQUEEN,lace patch chiffon dress black,"34,000","44,000"
897,JIL SANDER,over sized double coat black,"34,000","44,000"
898,MAX MARA,suede collar check jacket brown,"34,000","44,000"
899,CHANEL,high waist wide denim jeans,"19,000","29,000"
900,VALENTINO,lace pointed collar shirt,"19,000","29,000"
901,THOM BROWNE,stripe pattern pointed cardigan,"24,000","34,000"
902,CHANEL,pocket graphics pattern zipup-jumper navy,"49,000","59,000"
903,CHLOE,basic pattern t-shirts white,"19,000","29,000"
904,GUCCI,gold belted drape dress black,"34,000","44,000"
905,THOM BROWNE,oxford basic tee gray,"19,000","29,000"
906,CHRISTIAN DIOR,ribbon draping cap sleeve dress,"39,000","49,000"
907,CHANEL,logo pointed stripe knit top,"19,000","29,000"
908,GUCCI,unbalance draping peplum check dress,"34,000","44,000"
909,THOM BROWNE,basic pattern sweat-shirts grey,"24,000","34,000"
910,FENDI,graphics pattern top,"24,000","34,000"
911,BURBERRY,embroidery basic pattern sweater ivory,"24,000","34,000"
912,CHANEL,pocket basic pattern wool cardigan grey,"39,000","49,000"
913,BURBERRY,lettering pattern t-shirts white,"24,000","34,000"
914,BALMAIN,basic pattern sweat-shirts white,"24,000","34,000"
915,BALMAIN,button basic pattern wool doublebreasted-jacket brown,"39,000","49,000"
